source,target,link_type,weight
DBS,OCBC,ORGANIZATION,15
DBS,UOB,ORGANIZATION,13
OCBC,UOB,ORGANIZATION,9
Great Eastern,OCBC,ORGANIZATION,8
DBS,POSB,ORGANIZATION,7
OCBC,WBL,ORGANIZATION,4
POSB,UOB,ORGANIZATION,4
OCBC,UE,ORGANIZATION,4
DBS,MCA,ORGANIZATION,4
DBS,Piyush Gupta,PERSON,3
UE,WBL,ORGANIZATION,3
City Developments Limited,DBS,ORGANIZATION,3
MCA,Visa,ORGANIZATION,3
Bloomberg,DBS,ORGANIZATION,3
ANZ,DBS,ORGANIZATION,3
Lee,OCBC,PERSON,3
NAB,OCBC,ORGANIZATION,3
Great Eastern,Lee,PERSON,3
KrisFlyer,UOB,ORGANIZATION,3
Maybank,UOB,ORGANIZATION,3
Bloomberg,City Developments Limited,ORGANIZATION,3
DBS,Visa,ORGANIZATION,3
OCBC,UEL,ORGANIZATION,2
OCBC,WBL Corporation,ORGANIZATION,2
MAS,OCBC,ORGANIZATION,2
Citibank,HSBC,ORGANIZATION,2
OCBC,Prem Hirubalan,PERSON,2
Citibank,Maybank,ORGANIZATION,2
Citibank,OCBC,ORGANIZATION,2
Citibank,PayNow,ORGANIZATION,2
MAS,Prem Hirubalan,PERSON,2
Bloomberg,GEI,ORGANIZATION,2
Citibank,UOB,ORGANIZATION,2
City Developments Limited,GEI,ORGANIZATION,2
Great Eastern,WBL Corporation,ORGANIZATION,2
OCBC,PayNow,ORGANIZATION,2
DBS,Maybank,ORGANIZATION,2
DBS,Jacquelyn Tan,PERSON,2
DBS,Impact Investment Exchange,ORGANIZATION,2
Credit Suisse,OCBC,ORGANIZATION,2
Maybank,OCBC,ORGANIZATION,2
DBS,GEI,ORGANIZATION,2
OCBC,YPI,ORGANIZATION,2
Great Eastern,WBL,ORGANIZATION,2
Maybank,PayNow,ORGANIZATION,2
WBL,YPI,ORGANIZATION,2
Agoda,UOB,ORGANIZATION,2
UE,YPI,ORGANIZATION,2
HSBC,PayNow,ORGANIZATION,2
Standard Chartered Bank,UOB,ORGANIZATION,2
HSBC,OCBC,ORGANIZATION,2
HSBC,Maybank,ORGANIZATION,2
DBS,WLB,ORGANIZATION,2
Jacquelyn Tan,UOB,PERSON,2
DBS,VTMs,ORGANIZATION,2
PayNow,UOB,ORGANIZATION,2
DBS,Standard Chartered Bank,ORGANIZATION,2
Great Eastern,UE,ORGANIZATION,2
POSB,VTMs,ORGANIZATION,2
DBS,Singapore Exchange,ORGANIZATION,2
DBS,Singapore Airlines,ORGANIZATION,2
HSBC,UOB,ORGANIZATION,2
Great Eastern,YPI,ORGANIZATION,1
HSBC,Jacquelyn Tan,PERSON,1
Impact Investment Exchange,WLB,ORGANIZATION,1
HSBC,Standard Chartered Bank,ORGANIZATION,1
Impact Investment Exchange,Singapore Exchange,ORGANIZATION,1
Jacquelyn Tan,Maybank,PERSON,1
Jacquelyn Tan,OCBC,PERSON,1
Jacquelyn Tan,PayNow,PERSON,1
Jacquelyn Tan,Standard Chartered Bank,PERSON,1
Maybank,POSB,ORGANIZATION,1
Singapore Exchange,UEL,ORGANIZATION,1
Singapore Exchange,WLB,ORGANIZATION,1
UE,UEL,ORGANIZATION,1
UEL,WBL,ORGANIZATION,1
UEL,YPI,ORGANIZATION,1
WBL,WBL Corporation,ORGANIZATION,1
PayNow,Standard Chartered Bank,ORGANIZATION,1
Maybank,Standard Chartered Bank,ORGANIZATION,1
NAB,Singapore Exchange,ORGANIZATION,1
OCBC,POSB,ORGANIZATION,1
OCBC,Piyush Gupta,PERSON,1
OCBC,Singapore Exchange,ORGANIZATION,1
OCBC,Standard Chartered Bank,ORGANIZATION,1
Bloomberg,OCBC,ORGANIZATION,1
Citibank,DBS,ORGANIZATION,1
ANZ,NAB,ORGANIZATION,1
ANZ,OCBC,ORGANIZATION,1
Citibank,Jacquelyn Tan,PERSON,1
Citibank,Standard Chartered Bank,ORGANIZATION,1
DBS,PayNow,ORGANIZATION,1
DBS,NAB,ORGANIZATION,1
Credit Suisse,DBS,ORGANIZATION,1
Credit Suisse,Great Eastern,ORGANIZATION,1
Credit Suisse,Standard Chartered Bank,ORGANIZATION,1
Credit Suisse,UOB,ORGANIZATION,1
Credit Suisse,WBL Corporation,ORGANIZATION,1
DBS,HSBC,ORGANIZATION,1
DBS,MAS,ORGANIZATION,1
