name,type,importance,sentiment_emb
DBS,ORGANIZATION,1.0,15.789473684210526
OCBC,ORGANIZATION,0.48377690315283123,84.61538461538461
UOB,ORGANIZATION,0.3960908659548543,77.77777777777779
KrisFlyer,ORGANIZATION,0.13700317269254064,0.0
POSB,ORGANIZATION,0.060138835284095936,50.0
PayNow,ORGANIZATION,0.05486898034493871,0.0
Great Eastern,ORGANIZATION,0.04658388696656805,100.0
Bloomberg,ORGANIZATION,0.03464810531986196,-100.0
Singapore Exchange,ORGANIZATION,0.03410951617617238,100.0
UE,ORGANIZATION,0.029285744837572923,33.33333333333333
Prem Hirubalan,PERSON,0.02764276370282237,0.0
Visa,ORGANIZATION,0.027412976844312136,0.0
ANZ,ORGANIZATION,0.02475972504776412,100.0
City Developments Limited,ORGANIZATION,0.02387908822566563,-100.0
Piyush Gupta,PERSON,0.02348513664092306,-100.0
NAB,ORGANIZATION,0.022602848099386175,100.0
Singapore Airlines,ORGANIZATION,0.020022967392070174,-100.0
WBL,ORGANIZATION,0.014245905276481171,33.33333333333333
YPI,ORGANIZATION,0.014179922470817658,0.0
Credit Suisse,ORGANIZATION,0.01362124041769267,100.0
Jacquelyn Tan,PERSON,0.013440637256757468,0.0
Impact Investment Exchange,ORGANIZATION,0.01293115760184492,0.0
MAS,ORGANIZATION,0.012009219751874209,0.0
Maybank,ORGANIZATION,0.010679598305081259,0.0
VTMs,ORGANIZATION,0.010292696924465744,-100.0
MCA,ORGANIZATION,0.010260056717051498,0.0
Agoda,ORGANIZATION,0.008072649286752416,100.0
Lee,PERSON,0.0068414556132767234,0.0
HSBC,ORGANIZATION,0.006247949335292362,0.0
Citibank,ORGANIZATION,0.005952858382989548,0.0
UEL,ORGANIZATION,0.00545947136054959,0.0
Standard Chartered Bank,ORGANIZATION,0.005398579915113297,0.0
WLB,ORGANIZATION,0.003110082200268082,0.0
WBL Corporation,ORGANIZATION,0.0030864379568170106,100.0
GEI,ORGANIZATION,0.002992510973768187,-100.0
